date,open,high,low,close,volume
2024-12-16,494.79998779296875,494.79998779296875,490.1499938964844,491.6499938964844,1483700
2024-12-17,489.05999755859375,493,487.760009765625,490.6099853515625,1354500
2024-12-18,489.5,490.239990234375,482.4100036621094,482.94000244140625,1424400
2024-12-19,480,484,477.30999755859375,479.6600036621094,1250400
2024-12-20,479.45001220703125,489.0199890136719,477.7699890136719,489.0199890136719,3973500
2024-12-23,487.42999267578125,488.8500061035156,481.8299865722656,486.489990234375,1053900
2024-12-24,486.05999755859375,488.7300109863281,484.010009765625,488.1300048828125,375900
2024-12-26,488,493.4700012207031,486.2699890136719,489.9800109863281,662100
2024-12-27,488.3800048828125,493.3999938964844,486.3800048828125,488.9700012207031,820600
2024-12-30,486,486.54998779296875,481.8500061035156,483.3699951171875,887600
2024-12-31,484.3800048828125,486.5299987792969,482,485.94000244140625,731900
2025-01-02,485.94000244140625,489.7200012207031,481.4200134277344,482.25,953700
2025-01-03,481.4200134277344,483.9200134277344,480.9100036621094,481.82000732421875,817200
2025-01-06,478.75,480,465.8599853515625,466,1698600
2025-01-07,465.7200012207031,473.4200134277344,462.94000244140625,463.9599914550781,1276600
2025-01-08,463.5,469.2200012207031,461.239990234375,468.8500061035156,998700
2025-01-10,468,471.5899963378906,465.7300109863281,468.04998779296875,1127400
2025-01-13,469,484.82000732421875,468.79998779296875,483.1600036621094,1435200
2025-01-14,485,485.20001220703125,477.9700012207031,484.4599914550781,1162000
2025-01-15,487.760009765625,487.760009765625,480.3699951171875,483.9700012207031,882200
2025-01-16,481.79998779296875,487,481.5,486.8599853515625,956400
2025-01-17,487.5400085449219,492.04998779296875,484.19000244140625,490.32000732421875,1337600
2025-01-21,495,509.54998779296875,494.7200012207031,506.2900085449219,1615900
2025-01-22,503.239990234375,505.5299987792969,495.17999267578125,499.3399963378906,1324800
2025-01-23,503.5199890136719,506,493.9800109863281,497.2799987792969,913000
2025-01-24,495,497.2900085449219,494.6000061035156,496.9599914550781,759400
2025-01-27,500.0899963378906,507.1099853515625,496.7799987792969,503.69000244140625,1948600
2025-01-28,473.70001220703125,479.7300109863281,457.2699890136719,457.45001220703125,4023900
2025-01-29,460,462.489990234375,449.3999938964844,454.3599853515625,2396800
2025-01-30,456.5799865722656,459.8900146484375,451.32000732421875,459.6499938964844,1911800
2025-01-31,460,464.2300109863281,457.1499938964844,462.95001220703125,1473800
2025-02-03,458.79998779296875,461.3299865722656,453.5799865722656,455.4200134277344,1476300
