date,open,high,low,close,volume
2024-12-13,153.4499969482422,156.60000610351562,151.4199981689453,156.5,611500
2024-12-16,159.5500030517578,172.0800018310547,159.22000122070312,168.8000030517578,1118800
2024-12-17,168.61000061035156,168.61000061035156,159.6199951171875,164.0399932861328,732700
2024-12-18,163.86000061035156,165.25,155.32000732421875,156.05999755859375,805600
2024-12-19,156.92999267578125,161.85000610351562,156.07000732421875,161.83999633789062,526600
2024-12-20,158.17999267578125,165.6199951171875,158.17999267578125,164.02999877929688,1373200
2024-12-23,164.60000610351562,164.80999755859375,159.32000732421875,161.1999969482422,397700
2024-12-24,161.1999969482422,161.85000610351562,158.7100067138672,160.1199951171875,164300
2024-12-26,158.11000061035156,162.2100067138672,158,161.5,269400
2024-12-27,161.00999450683594,161.49000549316406,154.6199951171875,157.66000366210938,345700
2024-12-30,155.27000427246094,155.9499969482422,152.75999450683594,155.17999267578125,342500
2024-12-31,156.74000549316406,157.4600067138672,153.7100067138672,153.88999938964844,266200
2025-01-02,157.8699951171875,161.7100067138672,155.27999877929688,156.4499969482422,317600
2025-01-03,157.36000061035156,161.55999755859375,157.17999267578125,161.00999450683594,340500
2025-01-06,163.22999572753906,164,160.52000427246094,163.72999572753906,333900
2025-01-07,164.4499969482422,168,161.5500030517578,163.0399932861328,335700
2025-01-08,161.41000366210938,164,158.0399932861328,163.41000366210938,321500
2025-01-10,160.86000061035156,167.25,160.14999389648438,165.02999877929688,332100
2025-01-13,161.27999877929688,162.33999633789062,157.25,162.11000061035156,423200
2025-01-14,163.72999572753906,168.97000122070312,163,164.66000366210938,283500
2025-01-15,168.39999389648438,171,166.27000427246094,167.52999877929688,365300
2025-01-16,168,168.61000061035156,163.1699981689453,165.38999938964844,288500
2025-01-17,167.9600067138672,170.8800048828125,164.89999389648438,168.74000549316406,317400
2025-01-21,171,177.6300048828125,171,177.52000427246094,445000
2025-01-22,178.3800048828125,180,175.85000610351562,177.8800048828125,384700
2025-01-23,177.6300048828125,182.63999938964844,176.5,181.57000732421875,375500
2025-01-24,181.57000732421875,182.0399932861328,179.22999572753906,180.36000061035156,319200
2025-01-27,176,178.92999267578125,170.1699981689453,176.5500030517578,387400
2025-01-28,179.69000244140625,179.69000244140625,172.99000549316406,175.0399932861328,233600
2025-01-29,175.13999938964844,177.16000366210938,169,171.27999877929688,274600
